,name,key,description,units,format
205,Received needed care,HCSNC,"Number of adults who report that it is ""usually"" or ""always"" easy to get the care, tests or treatment they needed through their health plan.",count of adults,0 decimal places
206,Received needed care rate,HCSNCP,"Percent of adults who report that it is ""usually"" or ""always"" easy to get the care, tests or treatment they needed through their health plan.",% of adults,1 decimal place
207,Rent-burdened,RBU,"Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.",% of renter-occupied housing units,2 decimal places
208,Routine checkup,HCSRC,Number of adults who visited a doctor or health care provider for a routine checkup in the past year.,count of adults,0 decimal places
209,Routine checkup rate,HCSRCP,Percent of adults who visited a doctor or health care provider for a routine checkup in the past year.,% of adults,1 decimal place
210,Schizophrenic disorder hospitalization rate,HDSZR,"Age-adjusted rate of schizophrenic or other psychotic disorder hospitalization discharges, excluding discharges to Veterans Administration hospitals.","per 10,000 population",1 decimal place
211,Schizophrenic disorder hospitalizations,HDSZ,"Number of inpatient hospitalization discharges, excluding discharges to Veterans Administration hospitals, due to schizophrenia or other psychotic disorders.",count of hospitalizations,0 decimal places
212,School fights,YRSF,Number of students who report being in a physical fight on school property in the past 12 months.,count of students,0 decimal places
213,School fights rate,YRSFP,Percent of students who report being in a physical fight on school property in the past 12 months.,% of students,1 decimal place
214,School safety,YRSAF,Number of students who report not going to school on one or more of the past 30 days because they felt they would be unsafe at school or on their way to or from school.,count of students,0 decimal places
215,School safety rate,YRSAFP,Percent of students who report not go to school on one or more of the past 30 days because they felt they would be unsafe at school or on their way to or from school.,% of students,1 decimal place
216,Self-care difficulty,DIY,Percent of residents reporting difficulty dressing or bathing.,% of residents,2 decimal places
217,Serious psychological distress,HCSSPD,"Number of adults who reported serious psychological distress based on how often they felt nervous, hopeless, restless or fidgety, depressed, worthless, or that everything was an effort in the past 30 days.",count of adults,0 decimal places
218,Serious psychological distress rate,HCSSPDP,"Percent of adults who reported serious psychological distress based on how often they felt nervous, hopeless, restless or fidgety, depressed, worthless, or that everything was an effort in the past 30 days.",% of adults,1 decimal place
219,Severely rent-burdened,RBS,"Households spending more than 50% of income on rent are considered severely rent-burdened. Rent costs do not include utilities, insurance, or building fees.",% of renter-occupied housing units,2 decimal places
220,Single-parent households,HTA,"Percentage of households that have children present and are headed by a single parent (mother or father), with no partner present.",% of households,2 decimal places
221,Smoking during pregnancy,VRSMK,Number of births where the mother reported smoking any cigarettes during pregnancy.,count of births,0 decimal places
222,Smoking during pregnancy rate,VRSMKP,Percent of births where the mother reported smoking any cigarettes during pregnancy.,% of births,1 decimal place
223,Stroke mortality,VRST,Number of people who died due to stroke.,count of deaths,0 decimal places
224,Stroke mortality rate,VRSTR,Age-adjusted rate of people who died due to stroke.,"per 100,000 population",1 decimal place
225,Suicide mortality,VRSU,Number of people who died due to suicide.,count of deaths,0 decimal places
226,Suicide mortality rate,VRSUR,Age-adjusted rate of people who died due to suicide.,"per 100,000 population",1 decimal place
227,Syphilis,STDSY,Individuals diagnosed with primary or secondary syphilis infection.,count of individuals,0 decimal places
228,Syphilis rate,STDSYR,"Individuals diagnosed with primary or secondary syphilis infection per 100,000 population.","per 100,000 population",1 decimal place
229,Teen birth rate,VRTEENR,Rate of births where the mother is aged 15-19 years at time of delivery.,"per 1,000 population females aged 15-19 years",1 decimal place
230,Teen births,VRTEEN,Number of births where the mother is aged 15-19 years at time of delivery.,count of births,0 decimal places
231,Tobacco-related mortality,VRTO,Number of people who died due to diseases related to tobacco use or exposure.,count of deaths,0 decimal places
232,Tobacco-related mortality rate,VRTOR,Age-adjusted rate of people who died due to diseases related to tobacco use or exposure.,"per 100,000 population",1 decimal place
233,Total fertility rate,VRTFER,Average number of children a woman will potentially have.,"live births per 1,000 women",1 decimal place
234,Traffic Crashes,TRC,Crashes on city streets under the jurisdiction of Chicago Police Department.,number of crashes,0 decimal places
235,Traffic intensity,TRF,"A measure of proximity to vehicle traffic, defined as the annual average of the daily count of vehicles within 500 meters, divided by their distance in meters. Higher values indicate higher exposure to heavy traffic.",distance-weighted vehicles,0 decimal places
236,Tuberculosis,CDTB,Individuals diagnosed with active tuberculosis disease.,count of individuals,0 decimal places
237,Tuberculosis rate,CDTBR,"Individuals diagnosed with active tuberculosis disease per 100,000 population.","per 100,000 population",1 decimal place
238,Twin birth rate,VRTWR,Rate of twin births.,"per 1,000 births",1 decimal place
239,Twin births,VRTW,Number of twin births.,count of births,0 decimal places
240,Unemployment rate,UMP,Percent of residents 16 and older in the civilian labor force who are actively seeking employment.,%,2 decimal places
241,Uninsured rate,UNS,Percent of residents without health insurance (at the time of the survey).,% of residents,2 decimal places
242,Uninsured residents,UNI,Number of residents without health insurance.,residents,0 decimal places
243,Vacant,VAC,,% of housing units,2 decimal places
244,Very low birthweight,VRVLB,Number of births with a birthweight less than 1500 grams (3.25 pounds).,count of births,0 decimal places
245,Very low birthweight rate,VRVLBP,Percent of births with a birthweight less than 1500 grams (3.25 pounds).,% of births,1 decimal place
246,Vision difficulty,DIU,Percent of residents reporting a vision difficulty.,% of residents,2 decimal places
247,Years of Potential Life Lost (YPLL),YPLL,"Years of productive life lost per 100,000 population",,0 decimal places
248,Youth binge drinking,YRBD,Number of students who report having 4 or more drinks of alcohol in a row (if female) or 5 or more drinks of alcohol in a row (if male) on one or more of the past 30 days.,count of students,1 decimal place
249,Youth binge drinking rate,YRBDP,Percent of students who report having 4 or more drinks of alcohol in a row (if female) or 5 or more drinks of alcohol in a row (if male) on one or more of the past 30 days.,% of students,1 decimal place
250,Youth condom use,YRCO,Number of students who reported using a condom the last time they had sex.,count of sexually active students,0 decimal places
251,Youth condom use rate,YRCOP,Percent of students who reported using a condom the last time they had sex.,% of sexually active students,1 decimal place
252,Youth depression,YRDE,Number of students who report feeling so sad or hopeless almost every day for two weeks or more in a row that they stopped doing some usual activities during the past 12 months.,count of students,0 decimal places
253,Youth depression rate,YRDEP,Percent of students who report feeling so sad or hopeless almost every day for two weeks or more in a row that they stopped doing some usual activities during the past 12 months.,% of students,1 decimal place
254,Youth e-cigarette use,YREC,Number of students who report using an electronic vapor product at least once during the past 30 days.,count of students,0 decimal places
255,Youth e-cigarette use rate,YRECP,Percent of students who report using an electronic vapor product at least once during the past 30 days.,% of students,1 decimal place
256,Youth fruit and vegetable servings,YRFV,Number of students who report eating fruits and vegetables five or more times per day during the past seven days.,count of students,0 decimal places
257,Youth fruit and vegetable servings rate,YRFVP,Percent of students who report eating fruits and vegetables five or more times per day during the past seven days.,% of students,1 decimal place
258,Youth physical activity,YRPA,Number of students who report being physically active for 60+ minutes for 7 of the past 7 days.,count of students,0 decimal places
259,Youth physical activity rate,YRPAP,Percent of students who report being physically active for 60+ minutes  for all of the past 7 days.,% of students,1 decimal place
260,Youth smoking,YRSMK,Number of students who report smoking cigarettes on one or more of the past 30 days.,count of students,0 decimal places
261,Youth smoking rate,YRSMKP,Percent of students who report smoking cigarettes on one or more of the past 30 days.,% of students,1 decimal place
262,Youth soda consumption,YRSO,"Number of students who report consuming one or more servings of soda or pop daily for the past 7 days.

Numbers will not be displayed if the weighted number of respondents is less than 100.",count of students,0 decimal places
263,Youth soda consumption rate,YRSOP,Percent of students who report consuming one or more servings of soda or pop daily for the past 7 days.,% of students,1 decimal place
264,Youth suicide attempts,YRSU,Number of students who made a suicide attempt in the past year that needed to be treated by a doctor or nurse.,count of students,0 decimal places
265,Youth suicide attempts rate,YRSUP,Percent of students who made a suicide attempt in the past year that needed to be treated by a doctor or nurse.,% of students,1 decimal place
